#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Precentage
,World,81142129,"+8,310",1771884.0,417.0,57291222.0,22079023.0,105385.0,10410.0,227.3,,,,
1.0,USA,19573847,,341138.0,,11495875.0,7736834.0,28672.0,58965.0,1028.0,246709973.0,743203.0,331955077.0,5.896534909752262
2.0,India,10208725,,147940.0,,9781945.0,278840.0,8944.0,7362.0,107.0,168102657.0,121230.0,1386641760.0,0.7362193534399253
3.0,Brazil,7484285,,191146.0,,6515370.0,777769.0,8318.0,35088.0,896.0,28600000.0,134083.0,213300138.0,3.5088045747068386
4.0,Russia,3050248,,54778.0,,2450829.0,544641.0,2300.0,20897.0,375.0,89000000.0,609734.0,145965290.0,2.0897077654557465
5.0,France,2559686,,62746.0,,189941.0,2306999.0,2659.0,39172.0,960.0,34273124.0,524498.0,65344575.0,3.9172127142918898
6.0,UK,2288345,,70752.0,,,,1529.0,33622.0,1040.0,52257588.0,767804.0,68061074.0,3.3621934910988918
7.0,Turkey,2147578,,19878.0,,2015230.0,112470.0,4309.0,25330.0,234.0,23777926.0,280457.0,84782714.0,2.533037571786154
8.0,Italy,2047696,,71925.0,,1394011.0,581760.0,2580.0,33892.0,1190.0,26046137.0,431099.0,60417968.0,3.389216929639209
9.0,Spain,1869610,,49824.0,,,,1907.0,39980.0,1065.0,25991493.0,555805.0,46763700.0,3.9979941706922246
10.0,Germany,1655322,,30502.0,,1236700.0,388120.0,5535.0,19726.0,363.0,33708381.0,401694.0,83915659.0,1.972602038434805
11.0,Colombia,1594497,,42171.0,,1455975.0,96351.0,2578.0,31174.0,824.0,7874546.0,153956.0,51148037.0,3.117415825753
12.0,Argentina,1583297,,42650.0,,1407926.0,132721.0,3313.0,34875.0,939.0,4683310.0,103159.0,45398764.0,3.4875332729322763
13.0,Mexico,1383434,"+6,217",122426.0,400.0,1038766.0,222242.0,3913.0,10675.0,945.0,3511534.0,27096.0,129595093.0,1.067504924742791
14.0,Poland,1257799,,27118.0,,999610.0,231071.0,1586.0,33252.0,717.0,6976460.0,184435.0,37826168.0,3.3252086227714104
15.0,Iran,1200465,,54693.0,,951860.0,193912.0,5212.0,14204.0,647.0,7407400.0,87643.0,84517652.0,1.4203719241987462
16.0,Ukraine,1025989,,17774.0,,658538.0,349677.0,177.0,23530.0,408.0,5472989.0,125516.0,43603742.0,2.3529838333599904
17.0,Peru,1007657,,37474.0,,945603.0,24580.0,1144.0,30355.0,1129.0,5463577.0,164586.0,33195820.0,3.035493625402234
18.0,South Africa,1004413,,26735.0,,844874.0,132804.0,546.0,16832.0,448.0,6445318.0,108009.0,59673704.0,1.683175222372655
19.0,Netherlands,762985,,10998.0,,,,631.0,44480.0,641.0,5514008.0,321450.0,17153526.0,4.447977634452531
20.0,Indonesia,713365,,21237.0,,583676.0,108452.0,,2595.0,77.0,7124513.0,25913.0,274937744.0,0.25946419346483035
21.0,Czechia,670599,,11044.0,,565841.0,93714.0,618.0,62563.0,1030.0,3663434.0,341778.0,10718758.0,6.256312531731754
22.0,Belgium,638030,,19158.0,,43814.0,575058.0,494.0,54934.0,1650.0,6797674.0,585280.0,11614401.0,5.49343870596512
23.0,Romania,615809,,15230.0,,540437.0,60142.0,1206.0,32117.0,794.0,4718625.0,246093.0,19174157.0,3.2116614044622667
24.0,Chile,600105,,16443.0,,569578.0,14084.0,716.0,31261.0,857.0,6336885.0,330105.0,19196553.0,3.1261081090964615
25.0,Iraq,591597,,12780.0,,531803.0,47014.0,180.0,14550.0,314.0,4403180.0,108294.0,40659531.0,1.455002026462135
26.0,Canada,552020,,14963.0,,457193.0,79864.0,715.0,14564.0,395.0,13438585.0,354541.0,37904174.0,1.4563567590207875
27.0,Bangladesh,509148,,7452.0,,451961.0,49735.0,,3077.0,45.0,3171910.0,19167.0,165491971.0,0.30765722163040765
28.0,Pakistan,471335,,9874.0,,422132.0,39329.0,2282.0,2114.0,44.0,6557112.0,29407.0,222974428.0,0.21138522665029555
